"D" "Ds" "dist_type" "epsilon" "ppv"
"457" "10000" "150" "uniform" "1" "23.8"
"458" "10000" "150" "uniform" "1.2" "27.4"
"459" "10000" "150" "uniform" "1.4" "28.3433133732535"
"460" "10000" "150" "uniform" "1.6" "29.940119760479"
"461" "10000" "150" "uniform" "1.8" "30.1397205588822"
"462" "10000" "150" "uniform" "2" "30.5389221556886"
"463" "10000" "150" "right_skew" "-2" "3.89105058365759"
"464" "10000" "150" "right_skew" "-1.8" "3.515625"
"465" "10000" "150" "right_skew" "-1.6" "2.34375"
"466" "10000" "150" "right_skew" "-1.4" "1.76125244618395"
"467" "10000" "150" "right_skew" "-1.2" "1.37254901960784"
"468" "10000" "150" "right_skew" "-1" "0.986193293885602"
"469" "10000" "150" "right_skew" "-0.8" "0.793650793650794"
"470" "10000" "150" "right_skew" "-0.6" "0.784313725490196"
"471" "10000" "150" "right_skew" "-0.4" "2.71317829457364"
"472" "10000" "150" "right_skew" "-0.2" "54.9132947976879"
"473" "10000" "150" "right_skew" "0" "100"
